time,high,low,open,volumefrom,volumeto,close
2018-01-01 01:00,13690.14,13330.07,13642.93,3900.16,53021410.98,13352.04
2018-01-01 02:00,13488.9,13318.52,13352.04,3028.41,40794719.8,13408.7
2018-01-01 03:00,13647.63,13383.99,13408.7,3246.38,44169292.79,13458.77
2018-01-01 04:00,13633.43,13364.42,13458.77,2931.72,39826891.37,13631.46
2018-01-01 05:00,13637.47,13523.24,13633.88,2076.65,28416733.99,13562.02
2018-01-01 06:00,13871.4,13479.0,13562.02,3415.37,47124530.11,13850.58
2018-01-01 07:00,13921.53,13666.36,13848.13,2518.42,34959925.99,13669.33
2018-01-01 08:00,13759.8,13467.26,13668.93,2959.99,40487870.38,13493.98
2018-01-01 09:00,13663.63,13487.69,13493.98,1971.74,26996052.87,13638.75
2018-01-01 10:00,13638.75,13520.0,13638.75,1352.22,18530877.21,13595.59
2018-01-01 11:00,13595.59,13160.06,13595.59,5043.31,67474515.38,13294.37
2018-01-01 12:00,13343.82,13196.41,13294.42,2683.49,35789991.53,13229.17
2018-01-01 13:00,13250.89,13010.19,13229.17,4787.08,63064380.38,13079.05
2018-01-01 14:00,13260.61,12877.67,13080.14,5714.49,74632419.29,13258.71
2018-01-01 15:00,13362.13,13177.13,13258.71,3519.08,47108419.96,13281.49
2018-01-01 16:00,13288.8,13055.88,13281.49,3163.67,41789717.29,13078.93
2018-01-01 17:00,13233.62,13079.39,13079.59,2139.56,28349272.19,13097.3
2018-01-01 18:00,13316.56,13065.67,13097.3,2929.13,38826908.2,13182.7
2018-01-01 19:00,13324.04,13128.06,13182.7,2587.21,34454058.66,13321.16
2018-01-01 20:00,13524.87,13314.01,13316.85,4225.21,57299660.48,13464.52
2018-01-01 21:00,13710.65,13451.97,13464.52,4428.51,60617476.44,13573.19
2018-01-01 22:00,13672.35,13526.42,13573.19,2711.83,36986039.94,13532.98
2018-01-01 23:00,13532.98,13405.41,13532.98,3176.66,42960597.7,13444.88
2018-01-02 00:00,13934.7,13441.62,13444.88,6041.6,83540825.76,13847.31
2018-01-02 01:00,13875.84,13667.48,13847.72,4439.94,61457431.15,13668.27
2018-01-02 02:00,13698.11,13472.76,13671.1,6108.07,83144236.23,13573.48
2018-01-02 03:00,13575.23,13289.11,13573.66,4863.58,65412375.4,13354.18
2018-01-02 04:00,13406.86,12934.16,13354.18,6502.12,85697135.76,13126.32
2018-01-02 05:00,13213.56,13113.39,13121.84,3663.51,48337823.69,13162.39
2018-01-02 06:00,13380.65,13101.72,13162.34,2639.68,35208573.28,13342.11
